,hhid,group_id_x,totformalborrow_24,totinformalborrow_24,hhinc,hhnomembers_x,survey_round,hhinc_24,totformalborrow_24_top_coded,totinformalborrow_24_top_coded,hhinc_top_coded,hhinc_24_top_coded,total_borrowed_amount,pair_id,treated,daily_per_capita_income,below_poverty_line,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
0,86.0,3.0,120000,69000,6700,4,Endline II,160800,120000.0,69000.0,6700.0,160800.0,189000,31,1,55.833333333333336,1,Male (1),55.0,10 years,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,179.0,4.0,50000,96000,4300,5,Endline II,103200,50000.0,96000.0,4300.0,103200.0,146000,31,0,28.666666666666668,1,Male (1),51.0,8 years,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,192.0,76.0,140000,30000,6700,2,Endline II,160800,140000.0,30000.0,6700.0,160800.0,170000,5,0,111.66666666666667,1,Male (1),57.0,12 years,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,261.0,14.0,50000,30000,60000,7,Endline I,1440000,50000.0,30000.0,60000.0,1440000.0,80000,1,0,285.7142857142857,1,Male (1),46.0,19+ years (Post-graduate),1.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
4,268.0,96.0,120000,30000,26000,5,Endline II,624000,120000.0,30000.0,26000.0,624000.0,150000,14,0,173.33333333333331,1,Male (1),48.0,0 years,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,294.0,14.0,50000,30000,23000,2,Endline I,552000,50000.0,30000.0,23000.0,552000.0,80000,1,0,383.3333333333333,1,Male (1),75.0,19+ years (Post-graduate),1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6,353.0,13.0,200000,200000,25000,5,Endline II,600000,200000.0,200000.0,25000.0,600000.0,400000,15,1,166.66666666666669,1,Male (1),48.0,15-16 years (Vocational/industry studies),1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7,500.0,134.0,25000,30000,8940,6,Endline II,214560,25000.0,30000.0,8940.0,214560.0,55000,21,0,49.666666666666664,1,Female (0),60.0,0 years,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
8,554.0,122.0,15000,30000,10000,5,Endline I,240000,15000.0,30000.0,10000.0,240000.0,45000,17,0,66.66666666666666,1,Male (1),58.0,10 years,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,952.0,96.0,35000,200000,9750,5,Endline II,234000,35000.0,200000.0,9750.0,234000.0,235000,14,0,65.0,1,Female (0),38.0,14 years (Class 12/HSC),1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10,1129.0,57.0,16000,26450,7000,3,Endline II,168000,16000.0,26450.0,7000.0,168000.0,42450,2,0,77.77777777777779,1,Male (1),36.0,12 years,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,1153.0,3.0,70000,22000,3200,3,Endline II,76800,70000.0,22000.0,3200.0,76800.0,92000,31,1,35.55555555555556,1,Male (1),60.0,0 years,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,1214.0,3.0,50000,30000,6700,2,Endline II,160800,50000.0,30000.0,6700.0,160800.0,80000,31,1,111.66666666666667,1,Male (1),86.0,0 years,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,1288.0,101.0,50000,30000,6700,4,Endline II,160800,50000.0,30000.0,6700.0,160800.0,80000,16,0,55.833333333333336,1,Male (1),44.0,14 years (Class 12/HSC),1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
14,1392.0,83.0,187000,10000,15000,5,Endline I,360000,187000.0,10000.0,15000.0,360000.0,197000,9,0,100.0,1,Male (1),41.0,10 years,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
15,1449.0,77.0,50000,5000,700,4,Endline II,16800,50000.0,5000.0,700.0,16800.0,55000,5,1,5.833333333333333,0,Female (0),70.0,0 years,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,1602.0,124.0,450000,315000,46000,5,Endline I,1104000,444844.80351986585,293642.18849340803,46000.0,1104000.0,765000,17,1,306.66666666666663,1,Male (1),60.0,12 years,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,1656.0,63.0,50000,3000,8590,4,Endline I,206160,50000.0,3000.0,8590.0,206160.0,53000,10,0,71.58333333333333,1,Male (1),38.0,10 years,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
